english_word,nepali_translation

abandon,"छोड्नु, त्याग्नु"
ability,"क्षमता"
able,"सक्नु"
accept,"अपनाउनु, स्विकार गर्नु"
accomplish,"पुर्ण गर्नु, पुरा गर्नु"
according,"अनुसार, बमोजिम, माफिक"
account-book,"श्रेस्ता, बही"
acknowledge,"मान्नु, स्विकार गर्नु, प्राप्ति, सुचना दिनु"
act,"कार्य, काम / (Law: ऐन)"
actions,"कार्बाही, काम कार्य, नालिश"
activities,"चहलपहल, हलचल"
add,"जोडनु, थप्नु"
addition,"जोड, थप"
adjust,"मिलाउनु"
administration,"ब्यबस्था, प्र्शासन"
admit,"मान्नु, भर्नाहुनु, स्बिकार गर्नु"
admit in,"भर्ना गर्नु"
advance,"पेश्की, बैना"
advantage,"लाभ, फाईदा"
adversary,"बिरोधी"
advertisement,"बिज्ञापन"
advice,"सल्लाह"
advise,"सल्लाह दिनु"
aerogram,"हवाईपत्र"
afternoon,"दिउसो"
agree,"मान्नु"
agreement,"मेल, सहमत"
agriculture,"क्रिषि"
aim,"लक्ष्य, उदेश्य"
air,"हावा"
airplane,"हवाईजहाज"
alcohol,"रकसी"
allocate,"तोक्नु, स्थापन गर्नु"
amaze,"आश्चर्य लाग्नु, अचम्म मान्नु"
ambassador,"राजदुत"
amendment,"संशोधन"
amount,"रकम, जम्मा, स्पष्टि"
animal,"पशु, जन्तु, जनावर"
animal husbandry,"पशु पालन"
answer,"जबाफ, उत्तर"
anthropology,"मानव शाब, शास्व, नरदेह बिज्ञान, न्रीबिज्ञान"
apartment,"डेरा"
appearance,"रुप, आकार, अनुहार"
apple,"स्याउ"
appoint,"खटाउनु, तोक्नु, नियुक्ति गर्नु"
approval,"अनुमति, अनुमोदन, स्वीक्रित"
arch,"गुमज"
archway,"गुमज"
area,"इलाका, क्षेत्र"
arena,"अखडा, कार्य क्षेत्र, रड्णभुमी"
argument,"बिबाद, बहस"
army,"सेना, सैनिक"
arrange,"थमलाउनु, ऐठक ठाक पार्नु"
arrangement,"बन्दोब्स्त, ब्यब्स्था, प्र्बन्ध"
arrive,"आईपुग्नु, आगमन"
ash,"खरानी"
ask,"सोध्नु, माग्नु"
assembly,"सभा, जन समुदाय"
assistance,"सघाई, सहायता, सहयोग"
assistant,"सहायक, सहयोगी"
assume,"ठान्नु, धारण गर्नु"
astrologer,"ज्योतिषी"
atmosphere,"परिस्थिति, बाताबरण, वायु मण्डल"
attach,"नथ्थी गर्नु, जोड्नु, गाभ्नु"
attack,"जाई लाग्नु"
attempt,"प्र्यत्न, कोशिश"
authority,"अधिकार, प्राधिकार्, प्र्भुत्व"
authorization,"अधिकार"
available,"पाईनु"
back,"पछाडि"
bag,"झोला, थैलो"
bamboo,"बाँस"
bamboo shoot,"तामा"
ban,"मनाही, मनाई, प्र्तिबन्ध"
banana,"केरा"
base,"आधार, मुल, जग"
basis,"आधार, मुल, जग"
bask,"ताप्नु, सेक्नु"
bathe,"नुहाउनु"
bath,"नुहाउनु"
bazaar,"बजार"
be,"हुनु"
bear,"भालु"
beard,"दार्ही, दाढी"
bedroom,"सुत्ने कोठा"
beg,"माग्नु"
begin,"शुरु गर्नु, थाल्नु"
beginning,"आरम्भ, शुरु, थालनी"
behavior,"चालचलन, व्यवहार"
belief,"विश्वाश"
bell,"घंटी"
bicycle,"साइकल"
biology,"जिब-बिज्ञान, जिव्सास्त्र"
black market,"कालो बजार"
bloom,"फुल्नु"
boil,"उमाल्नु"
bone,"हाड"
book,"किताब, पुस्तक"
boredom,"दिक्क"
botany,"बनस्पति बिज्ञान"
bread,"रोटी"
break,"भाच्नु"
breath,"सास"
breathe,"सास फेर्नु"
bring,"ल्याउनु"
bring away,"लिएर जानु, लैजानु"
broadcast,"प्र्सारण गर्नु"
broken,"बिग्रिनु"
broom,"कुचो"
budget,"बजेट्, आयव्ययको हिसाब"
building,"भवन"
building Department,"भवन विभाग"
bus,"बस"
bush,"झाडी"
business,"व्यपार, कामकाज, व्यवसाय"
buy,"किन्नु"
cage,"खोर"
call,"बोलाउनु, डाक्नु"
can,"सक्नु"
capital sum,"साँउ, पुँजी"
capitalism,"पुँजीबाद"
capitalist,"पुँजीवाल, प्ँजीपति, धनीबर्ग"
car,"गाडि, मोटर"
care,"परवाह, जतन"
carpenter,"सिकर्मी"
carpet,"गलौंचा"
case,"मुद्दा, झगडा, खोल"
catch,"समात्नु"
cattle,"गाई वस्तु"
celebrate,"मनाउनु"
cement,"सिमेन्ट"
center,"केन्द्र्, बिच"
certificate,"प्र्माणपत्र"
chair,"मेच"
chairman,"अध्यक्ष, सभापती"
chance,"मौका, अवसर"
change,"परिवर्तन"
chat,"गफ गर्नु"
cheese,"चिज"
chemistry,"रसायन शास्त्र"
chicken,"कुखुरा"
chief,"नाईके, प्र्मुख, सरदार"
children,"केटाकेटी"
choice,"छनाई, रोजाई"
choose,"छान्नु, रोज्नु"
cigarette,"चुरोट"
cinema,"सिनेमा"
circumstances,"परिस्थिति, हाल, गति"
city,"शहर"
clash,"टक्कर, बिरोध"
clerk,"बहिदार"
cliff,"भिर"
climb,"चढ्नु"
close,"बन्दु गर्नु"
cloud,"बादल"
coat,"कोट"
code,"ऐन-सग्र्ह, ऐनको किताब"
coffee,"कफी"
collect,"बटुल्नु, संकलन गर्नु, जम्मा गर्नु"
color,"रङ्ग"
combine,"मिलाउनु, मिसाउनु"
come,"आउनु"
come out,"निक्लिनु"
commentary,"प्र्वचन, समीक्षा, टीका-टिप्पणी"
committee,"समिति"
communism,"साम्यबाद"
community,"समुदाय, समाज"
compare,"दाँज्नु, तुलना गर्नु"
comparison,"तलनाु, दजाई"
competition,"प्र्तियोगिता, प्र्तिस्पर्दा, होड"
complaint,"उजूर, उजूरी"
comply,"मान्नु, सहमत हुनु"
condition,"हालत, परिस्थिति, स्थिति, अवस्था"
conduct,"आचार, संचालन, चालचलन"
confidence,"बिश्वास, दृढता, पत्यार, भरोसा"
connection,"सम्बन्ध"
constituency,"निर्वाचन क्षेत्र, निर्बाचन मण्डल"
construction,"निर्माण"
consult,"सल्लाह लिनु, दिनु"
continent,"महादेश"
contract,"ठेक्का"
control,"कब्जा, नियन्त्रण"
convenience,"अनुकुल, सुबिधा"
convenient,"उचित, सुबिधाजनक"
convince,"मनाउनु, संदेह हटाउनु, सम्झाउनु"
cook,"पकाउनु"
cooked,"पाक्नु"
cooperation,"सहयोगिता, सहकारिता, समिती"
cooperative,"सहकारी, सहयोगी, साझा"
copy,"नक्कल"
copybook,"कापी"
corn,"मकै"
correct,"सुधार्नु, सच्याउनु"
correction,"संशोधन, भुल सुधार"
cost,"खर्च गर्नु, मोल"
cottage industry,"घरेलु, उघोग"
cottage,"झुपडी, झुप्रो"
shack,"झुपडी, झुप्रो"
cough,"खोकी"
council,"परिषद, समिति"
counsel,"सल्लाह दिनु, परामर्श दिनु"
count,"गन्नु"
country,"देश, मुलुक"
court,"अदालत"
courtyard,"आगँन"
cow-shed,"गोठ"
crab,"गङ्गटो"
creditor,"साहु, रिणदाता"
crop,"उब्जनी, उब्जाउ, अन्न"
crops,"बाली"
cry,"रुनु"
cultivated property,"खते-बारी"
cultivation,"खेतीे-पाती"
culture,"संस्कृती, रितिरिवाज"
cupboard,"दराज"
cured,"निको हुनु, बिषेक हुनु"
